FocusLevel,WeekDay,HourOfDay
0.451406151,7,19
0.9169271,7,19
1.396844,7,19
1.89143384,7,19
2.40096664,7,19
2.92570329,7,19
3.465895,7,19
3.45723,7,19
3.431236,7,19
6.77820826,7,19
7.31502342,7,19
7.867219,7,19
8.435005,7,19
9.01858,7,19
8.996034,7,19
8.928394,7,19
8.815662,7,19
8.657837,7,19
8.454919,7,19
8.206908,7,19
7.91380453,7,19
7.575608,7,19
7.192318,7,19
6.763935,7,19
6.29045963,7,19
5.771891,7,19
5.20823,7,19
4.599476,7,19
3.945629,7,19
3.246689,7,19
2.50265574,7,19
1.7135303,7,19
0.8793118,7,19
1.32674932,7,20
1.32343245,7,20
1.31348181,7,20
1.29689753,7,20
1.27367938,7,20
1.24382746,7,20
1.20734179,7,20
1.16422248,7,20
1.11446953,7,20
1.05808258,7,20
0.995062,7,20
0.925407648,7,20
0.849119544,7,20
0.766197741,7,20
0.6766421,7,20
0.5804528,7,20
0.477629781,7,20
0.3681729,7,20
0.252082378,7,20
0.1293581,7,20
0.451406151,7,21
0.9169271,7,21
1.396844,7,21
1.39335191,7,21
2.77073145,7,21
3.25843,7,21
3.76086378,7,21
4.278289,7,21
4.81095362,7,21
5.35909748,7,21
5.92294645,7,21
6.50271559,7,21
7.09860325,7,21
7.71079731,7,21
8.339464,7,21
8.984756,7,21
9.646803,7,21
10.3257141,7,21
11.0215845,7,21
11.7344723,7,21
12.4644241,7,21
13.2114515,7,21
13.975544,7,21
13.9406052,7,21
13.8357887,7,21
24.83033,7,21
25.5128822,7,21
26.21025,7,21
26.9223423,7,21
27.6490479,7,21
28.3902149,7,21
29.1456718,7,21
29.9152184,7,21
30.6986122,7,21
30.6218662,7,21
44.1995621,7,21
44.08906,7,22
55.031147,7,22
54.89357,7,22
54.480835,7,22
53.7929459,7,22
52.8299,7,22
51.5917,7,22
50.0783424,7,22
48.2898331,7,22
46.2261658,7,22
43.88734,7,22
41.27336,7,22
38.3842239,7,22
35.2199326,7,22
31.7804871,7,22
28.0658836,7,22
24.0761261,7,22
19.8112144,7,22
15.271142,7,22
10.4559174,7,22
5.365538,7,22
0.451406151,7,23
0.9169271,7,23
0.914634764,7,23
0.9077578,7,23
0.896296263,7,23
0.88025,7,23
0.859619141,7,23
0.834403634,7,23
0.8046035,7,23
0.7702188,7,23
0.7312494,7,23
0.6876953,7,23
0.639556646,7,23
0.586833358,7,23
0.5295254,7,23
0.4676328,7,23
0.4011556,7,23
0.330093771,7,23
0.254447252,7,23
0.174216151,7,23
0.08940042,7,23
0.451406151,1,15
0.450277627,1,15
0.446892083,1,15
0.44124952,1,15
0.4333499,1,15
0.8827991,1,15
1.346302,1,15
1.8241396,1,15
2.31658673,1,15
2.82391024,1,15
2.81685042,1,15
2.79567122,1,15
2.7603724,1,15
2.71095371,1,15
2.64741588,1,15
2.56975818,1,15
2.47798133,1,15
2.37208462,1,15
2.25206852,1,15
2.1179328,1,15
1.96967733,1,15
1.80730247,1,15
1.63080812,1,15
1.44019425,1,15
1.23546076,1,15
1.01660776,1,15
0.783635,1,15
0.536542952,1,15
0.275331318,1,15
0.451406151,2,0
0.450277627,2,0
0.446892083,2,0
0.44124952,2,0
0.4333499,2,0
0.423193276,2,0
0.4107796,2,0
0.3961089,2,0
0.379181176,2,0
0.3599964,2,0
0.338554621,2,0
0.314855784,2,0
0.288899928,2,0
0.260687053,2,0
0.230217129,2,0
0.197490185,2,0
0.162506223,2,0
0.6131785,2,0
0.6116455,2,0
0.6070467,2,0
0.599382,2,0
0.588651359,2,0
0.574854851,2,0
0.5579924,2,0
0.5380641,2,0
0.515069962,2,0
0.489009857,2,0
0.459883869,2,0
0.427692,2,0
0.392434239,2,0
0.354110569,2,0
0.8039181,2,0
1.26779,2,0
1.74600756,2,0
1.74164259,2,0
1.72854745,2,0
1.70672238,2,0
1.67616725,2,1
1.63688207,2,1
1.58886683,2,1
1.53212166,2,1
1.46664643,2,1
1.392441,2,1
1.3095057,2,1
1.21784031,2,1
1.11744487,2,1
1.00831938,2,1
0.8904638,2,1
0.7638783,2,1
0.628562748,2,1
0.484517038,2,1
0.331741422,2,1
0.170235783,2,1
0.451406151,2,1
0.450277627,2,1
0.446892083,2,1
0.44124952,2,1
0.4333499,2,1
0.423193276,2,1
0.4107796,2,1
0.3961089,2,1
0.379181176,2,1
0.3599964,2,1
0.338554621,2,1
0.314855784,2,1
0.288899928,2,1
0.260687053,2,1
0.230217129,2,1
0.197490185,2,1
0.162506223,2,1
0.1252652,2,1
0.0857671648,2,1
0.04401211,2,1
0.451406151,2,2
0.450277627,2,2
0.446892083,2,2
0.44124952,2,2
0.4333499,2,2
0.423193276,2,2
0.4107796,2,2
0.3961089,2,2
0.379181176,2,2
0.3599964,2,2
0.8097782,2,2
0.807753742,2,2
0.801680446,2,2
0.7915582,2,2
0.7773871,2,2
1.22528386,2,2
1.687186,2,2
1.682968,2,2
1.67031419,2,2
1.6492244,2,2
1.61969852,2,2
1.58173692,2,2
1.53533924,2,2
2.438188,2,2
2.43209267,2,2
2.4138062,2,2
2.383329,2,2
2.34066057,2,2
2.28580141,2,2
2.218751,2,2
2.13951,2,2
2.048078,2,2
1.944455,2,2
1.828641,2,2
1.70063615,2,2
1.5604403,2,2
1.40805364,2,2
1.24347591,2,2
1.06670725,2,2
0.8777477,2,2
0.6765971,2,2
0.463255733,2,2
0.2377234,2,2
0.451406151,2,3
0.450277627,2,3
0.446892083,2,3
0.44124952,2,3
0.4333499,2,3
0.423193276,2,3
0.4107796,2,3
0.3961089,2,3
0.379181176,2,3
0.3599964,2,3
0.338554621,2,3
0.314855784,2,3
0.288899928,2,3
0.260687053,2,3
0.230217129,2,3
0.197490185,2,3
0.162506223,2,3
0.1252652,2,4
0.0857671648,2,4
0.04401211,2,4
0.451406151,2,22
0.450277627,2,22
0.446892083,2,23
0.44124952,2,23
0.4333499,2,23
0.423193276,2,23
0.4107796,2,23
0.3961089,2,23
0.379181176,2,23
0.828874946,2,23
1.29263,2,23
1.28939843,2,23
1.27970362,2,23
1.26354575,2,23
1.24092472,2,23
1.21184063,2,23
1.17629325,2,23
1.13428283,2,23
1.08580923,2,23
1.03087246,2,23
0.969472468,2,23
0.901609361,2,23
0.827283144,2,23
0.746493757,2,23
0.659241259,2,23
0.5655256,2,23
1.01437831,2,23
1.47726631,2,23
1.47357321,2,23
1.46249366,2,23
1.4440279,2,23
1.41817558,2,23
1.38493717,2,23
1.34431231,2,23
1.29630113,2,23
1.24090374,2,23
1.1781199,2,23
1.10794973,2,23
1.03039324,2,23
0.9454504,2,23
0.8531213,2,23
0.7534058,2,23
0.646304,2,23
0.5318159,2,23
0.409941375,2,23
0.2806806,2,23
0.1440335,2,23
0.451406151,3,15
0.450277627,3,15
0.446892083,3,15
0.44124952,3,16
0.4333499,3,16
0.423193276,3,16
0.4107796,3,16
0.3961089,3,16
0.379181176,3,16
0.3599964,3,16
0.338554621,3,16
0.314855784,3,16
0.288899928,3,16
0.260687053,3,16
0.230217129,3,16
0.197490185,3,16
0.162506223,3,16
0.1252652,3,16
0.0857671648,3,16
0.04401211,3,16
0.451406151,3,18
0.450277627,3,18
0.446892083,3,18
0.44124952,3,18
0.4333499,3,18
0.423193276,3,18
0.4107796,3,18
0.3961089,3,18
0.379181176,3,18
0.3599964,3,18
0.338554621,3,18
0.314855784,3,18
0.288899928,3,18
0.260687053,3,18
0.230217129,3,18
0.197490185,3,18
0.162506223,3,18
0.1252652,3,18
0.0857671648,3,18
0.04401211,3,18
0.451406151,7,17
0.450277627,7,17
0.446892083,7,17
0.44124952,7,17
0.4333499,7,17
0.423193276,7,17
0.4107796,7,17
0.3961089,7,17
0.379181176,7,17
0.3599964,7,17
0.338554621,7,17
0.314855784,7,17
0.288899928,7,17
0.260687053,7,17
0.230217129,7,17
0.197490185,7,17
0.162506223,7,17
0.1252652,7,17
0.0857671648,7,17
0.04401211,7,17
0.451406151,7,17
0.9169271,7,17
1.396844,7,17
1.89143384,7,17
2.40096664,7,17
2.92570329,7,17
3.465895,7,17
3.45723,7,17
3.431236,7,17
3.38791227,7,17
3.327259,7,17
3.2492764,7,17
3.15396428,7,17
3.04132271,7,17
2.911352,7,17
2.7640512,7,17
2.59942126,7,17
2.41746163,7,17
2.21817279,7,17
2.00155425,7,17
1.76760638,7,18
1.516329,7,18
