FocusLevel,WeekDay,HourOfDay
0.451406151,4,13
0.9169271,4,13
1.396844,4,13
1.39335191,4,13
1.38287556,4,13
1.3654151,4,13
2.74318552,4,13
3.23102236,4,13
3.73359752,4,13
3.72426343,4,13
6.03581142,4,13
6.541004,4,13
7.06107855,4,13
7.596265,4,13
8.146785,4,13
8.71285,4,13
9.294652,4,13
9.892374,4,13
10.50618,4,13
11.1362171,4,13
11.7826147,4,13
11.7531586,4,13
19.1394863,4,13
19.74707,4,13
19.6977024,4,13
26.9719524,4,13
27.5386467,4,13
27.4698,4,13
27.26326,4,13
26.9190273,4,13
25.8422661,4,14
25.2365875,4,14
24.4963131,4,14
31.8687057,4,14
32.41457,4,14
32.9735,4,14
32.8910675,4,14
40.42573,4,14
40.32467,4,14
47.0247231,4,14
47.4768143,4,14
47.93923,4,14
48.411953,4,14
48.89493,4,14
48.7726936,4,14
48.405983,4,14
55.81565,4,14
55.6761131,4,14
62.0416832,4,14
62.4079933,4,14
62.78182,4,14
63.1630821,4,14
63.0051727,4,14
69.25415,4,14
69.57851,4,14
69.90892,4,14
70.24527,4,14
70.06966,4,14
69.5428162,4,14
68.66475,4,14
67.4354553,4,14
65.85494,4,14
72.53732,4,14
72.85315,4,14
73.17424,4,14
73.5004654,4,14
73.31671,4,14
72.7654648,4,14
71.84671,4,14
70.56045,4,14
77.15235,4,14
77.43792,4,14
77.72767,4,14
77.53335,4,14
76.95039,4,14
82.56194,4,14
82.791954,4,14
83.02499,4,14
82.81742,4,14
82.19474,4,14
86.8872147,4,14
87.06947,4,14
87.25386,4,14
87.44027,4,14
87.22167,4,14
90.98624,4,14
91.12139,4,14
91.25781,4,14
91.3954239,4,14
91.53412,4,14
94.3912,4,15
94.48374,4,15
94.57688,4,15
94.67053,4,15
94.76463,4,15
94.85911,4,15
94.95389,4,15
95.04889,4,15
95.14404,4,15
95.23927,4,15
95.3344955,4,15
95.09616,4,15
94.38115,4,15
96.90348,4,15
96.96664,4,15
97.029686,4,15
97.09258,4,15
97.15528,4,15
97.21773,4,15
97.27988,4,15
97.34168,4,15
97.40309,4,15
97.46407,4,15
97.52457,4,15
97.58454,4,15
97.64395,4,15
97.70276,4,15
97.7609253,4,15
97.81842,4,15
97.5738754,4,15
99.05803,4,15
99.08255,4,15
99.10675,4,15
99.13062,4,15
99.1541443,4,15
99.1773148,4,15
99.20012,4,15
99.22255,4,15
99.2446,4,15
99.26625,4,15
99.28751,4,15
99.30837,4,15
99.32882,4,15
99.34886,4,15
99.10049,4,15
98.35538,4,15
